ICD_Code,ICD_Group,Name
B086,B,Parapoxvirus infections
B087,B,Yatapoxvirus infections
B10,B,Other human herpesviruses
B100,B,Other human herpesvirus encephalitis
B108,B,Other human herpesvirus infection
B15,B,Acute hepatitis A
B16,B,Acute hepatitis B
B17,B,Other acute viral hepatitis
B171,B,Acute hepatitis C
B18,B,Chronic viral hepatitis
B19,B,Unspecified viral hepatitis
B191,B,Unspecified viral hepatitis B
B192,B,Unspecified viral hepatitis C
B25,B,Cytomegaloviral disease
B26,B,Mumps
B268,B,Mumps with other complications
B27,B,Infectious mononucleosis
B270,B,Gammaherpesviral mononucleosis
B271,B,Cytomegaloviral mononucleosis
B278,B,Other infectious mononucleosis
B279,B,"Infectious mononucleosis, unspecified"
B30,B,Viral conjunctivitis
B33,B,"Other viral diseases, not elsewhere classified"
B332,B,Viral carditis
B34,B,Viral infection of unspecified site
B35,B,Dermatophytosis
B36,B,Other superficial mycoses
B37,B,Candidiasis
B373,B,Candidiasis of vulva and vagina
B374,B,Candidiasis of other urogenital sites
B378,B,Candidiasis of other sites
B38,B,Coccidioidomycosis
B388,B,Other forms of coccidioidomycosis
B39,B,Histoplasmosis
B40,B,Blastomycosis
B408,B,Other forms of blastomycosis
B41,B,Paracoccidioidomycosis
B42,B,Sporotrichosis
B428,B,Other forms of sporotrichosis
B43,B,Chromomycosis and pheomycotic abscess
B44,B,Aspergillosis
B448,B,Other forms of aspergillosis
B45,B,Cryptococcosis
B46,B,Zygomycosis
B47,B,Mycetoma
B48,B,"Other mycoses, not elsewhere classified"
B50,B,Plasmodium falciparum malaria
B51,B,Plasmodium vivax malaria
B52,B,Plasmodium malariae malaria
B53,B,Other specified malaria
B55,B,Leishmaniasis
B56,B,African trypanosomiasis
B57,B,Chagas' disease
B573,B,Chagas' disease (chronic) with digestive system involvement
B574,B,Chagas' disease (chronic) with nervous system involvement
B58,B,Toxoplasmosis
B580,B,Toxoplasma oculopathy
B588,B,Toxoplasmosis with other organ involvement
B60,B,"Other protozoal diseases, not elsewhere classified"
B600,B,Babesiosis
B601,B,Acanthamebiasis
B65,B,Schistosomiasis [bilharziasis]
B66,B,Other fluke infections
B67,B,Echinococcosis
B673,B,"Echinococcus granulosus infection, other and multiple sites"
B676,B,"Echinococcus multilocularis infct, oth and multiple sites"
B679,B,"Echinococcosis, other and unspecified"
B68,B,Taeniasis
B69,B,Cysticercosis
B698,B,Cysticercosis of other sites
B70,B,Diphyllobothriasis and sparganosis
B71,B,Other cestode infections
B73,B,Onchocerciasis
B730,B,Onchocerciasis with eye disease
B74,B,Filariasis
B76,B,Hookworm diseases
B77,B,Ascariasis
B778,B,Ascariasis with other complications
B78,B,Strongyloidiasis
B81,B,"Other intestinal helminthiases, not elsewhere classified"
B82,B,Unspecified intestinal parasitism
B83,B,Other helminthiases
B85,B,Pediculosis and phthiriasis
B87,B,Myiasis
B878,B,Myiasis of other sites
B88,B,Other infestations
B90,B,Sequelae of tuberculosis
B94,B,Sequelae of other and unsp infectious and parasitic disease
B95,B,Strep as the cause of diseases classified elsewhere
B956,B,Staphylococcus aureus as the cause of diseases classd elswh
B96,B,Oth bacterial agents as the cause of diseases classd elswhr
B962,B,Escherichia coli as the cause of diseases classd elswhr
B968,B,Oth bacterial agents as the cause of diseases classd elswhr
B97,B,Viral agents as the cause of diseases classified elsewhere
B971,B,Enterovirus as the cause of diseases classified elsewhere
B972,B,Coronavirus as the cause of diseases classified elsewhere
B973,B,Retrovirus as the cause of diseases classified elsewhere
B978,B,Oth viral agents as the cause of diseases classd elswhr
B99,B,Other and unspecified infectious diseases
C00,C,Malignant neoplasm of lip
C02,C,Malignant neoplasm of other and unspecified parts of tongue
C03,C,Malignant neoplasm of gum
C04,C,Malignant neoplasm of floor of mouth
C05,C,Malignant neoplasm of palate
C06,C,Malignant neoplasm of other and unspecified parts of mouth
C068,C,Malignant neoplasm of ovrlp sites of and unsp parts of mout
C08,C,Malignant neoplasm of other and unsp major salivary glands
C09,C,Malignant neoplasm of tonsil
C10,C,Malignant neoplasm of oropharynx
C11,C,Malignant neoplasm of nasopharynx
C13,C,Malignant neoplasm of hypopharynx
C14,C,"Malig neoplasm of sites in the lip, oral cavity and pharynx"
C15,C,Malignant neoplasm of esophagus
C16,C,Malignant neoplasm of stomach
C17,C,Malignant neoplasm of small intestine
C18,C,Malignant neoplasm of colon
C21,C,Malignant neoplasm of anus and anal canal
C22,C,Malignant neoplasm of liver and intrahepatic bile ducts
C24,C,Malignant neoplasm of other and unsp parts of biliary tract
C25,C,Malignant neoplasm of pancreas
C26,C,Malignant neoplasm of other and ill-defined digestive organ
C30,C,Malignant neoplasm of nasal cavity and middle ear
C31,C,Malignant neoplasm of accessory sinuses
C32,C,Malignant neoplasm of larynx
C34,C,Malignant neoplasm of bronchus and lung
C340,C,Malignant neoplasm of main bronchus
C341,C,"Malignant neoplasm of upper lobe, bronchus or lung"
C343,C,"Malignant neoplasm of lower lobe, bronchus or lung"
C348,C,Malignant neoplasm of overlapping sites of bronchus and lun
C349,C,Malignant neoplasm of unspecified part of bronchus or lung
C38,C,"Malignant neoplasm of heart, mediastinum and pleura"
C39,C,Malig neoplm of sites in the resp sys and intrathorac organ
C40,C,Malignant neoplasm of bone and articular cartilage of limbs
C400,C,Malignant neoplasm of scapula and long bones of upper limb
C401,C,Malignant neoplasm of short bones of upper limb
C402,C,Malignant neoplasm of long bones of lower limb
C403,C,Malignant neoplasm of short bones of lower limb
C408,C,Malig neoplasm of ovrlp sites of bone/artic cartl of limb
C409,C,Malignant neoplasm of unsp bones and artic cartilage of lim
C41,C,Malignant neoplasm of bone/artic cartl of and unsp sites
C43,C,Malignant melanoma of skin
C431,C,"Malignant melanoma of eyelid, including canthus"
C4311,C,"Malignant melanoma of right eyelid, including canthus"
C4312,C,"Malignant melanoma of left eyelid, including canthus"
C432,C,Malignant melanoma of ear and external auricular canal
C433,C,Malignant melanoma of other and unspecified parts of face
C435,C,Malignant melanoma of trunk
C436,C,"Malignant melanoma of upper limb, including shoulder"
C437,C,"Malignant melanoma of lower limb, including hip"
C4A,C,Merkel cell carcinoma
C4A1,C,"Merkel cell carcinoma of eyelid, including canthus"
C4A11,C,"Merkel cell carcinoma of right eyelid, including canthus"
C4A12,C,"Merkel cell carcinoma of left eyelid, including canthus"
C4A2,C,Merkel cell carcinoma of ear and external auricular canal
C4A3,C,Merkel cell carcinoma of other and unspecified parts of fac
C4A5,C,Merkel cell carcinoma of trunk
C4A6,C,"Merkel cell carcinoma of upper limb, including shoulder"
C4A7,C,"Merkel cell carcinoma of lower limb, including hip"
C44,C,Other and unspecified malignant neoplasm of skin
C440,C,Other and unspecified malignant neoplasm of skin of lip
C441,C,"Oth and unsp malignant neoplasm skin/ eyelid, inc canthus"
C4410,C,"Unsp malignant neoplasm of skin of eyelid, including canthu"
C44102,C,"Unsp malignant neoplasm skin/ right eyelid, inc canthus"
C44109,C,"Unsp malignant neoplasm skin/ left eyelid, including canthu"
C4411,C,"Basal cell carcinoma of skin of eyelid, including canthus"
C44112,C,"Basal cell carcinoma skin/ right eyelid, including canthus"
C44119,C,"Basal cell carcinoma skin/ left eyelid, including canthus"
C4412,C,"Squamous cell carcinoma of skin of eyelid, including canthu"
C44122,C,"Squamous cell carcinoma skin/ right eyelid, inc canthus"
C44129,C,"Squamous cell carcinoma skin/ left eyelid, including canthu"
C4413,C,"Sebaceous cell carcinoma skin/ eyelid, including canthus"
C44132,C,"Sebaceous cell carcinoma skin/ right eyelid, inc canthus"
C44139,C,"Sebaceous cell carcinoma skin/ left eyelid, inc canthus"
C4419,C,"Oth malignant neoplasm of skin of eyelid, including canthus"
C44192,C,"Oth malignant neoplasm skin/ right eyelid, including canthu"
C44199,C,"Oth malignant neoplasm skin/ left eyelid, including canthus"
C442,C,Oth and unsp malig neoplasm skin/ ear and extrn auric canal
C4420,C,Unsp malignant neoplasm skin/ ear and external auric canal
C4421,C,Basal cell carcinoma skin/ ear and external auricular canal
C4422,C,Squamous cell carcinoma skin/ ear and external auric canal
C4429,C,Oth malignant neoplasm skin/ ear and external auric canal
C443,C,Oth and unsp malignant neoplasm skin/ and unsp parts of fac
C4430,C,Unsp malignant neoplasm of skin of and unsp parts of face
C4431,C,Basal cell carcinoma of skin of other and unsp parts of fac
C4432,C,Squamous cell carcinoma of skin of and unsp parts of face
C4439,C,Oth malignant neoplasm of skin of oth and unsp parts of fac
C444,C,Other and unsp malignant neoplasm of skin of scalp and neck
C445,C,Other and unspecified malignant neoplasm of skin of trunk
C4450,C,Unspecified malignant neoplasm of skin of trunk
C4451,C,Basal cell carcinoma of skin of trunk
C4452,C,Squamous cell carcinoma of skin of trunk
C4459,C,Other specified malignant neoplasm of skin of trunk
C446,C,"Oth and unsp malig neoplasm skin/ upper limb, inc shoulder"
C4460,C,"Unsp malignant neoplasm skin/ upper limb, including shoulde"
C4461,C,"Basal cell carcinoma skin/ upper limb, including shoulder"
C4462,C,"Squamous cell carcinoma skin/ upper limb, including shoulde"
C4469,C,"Oth malignant neoplasm skin/ upper limb, including shoulder"
C447,C,"Oth and unsp malignant neoplasm skin/ lower limb, inc hip"
C4470,C,"Unsp malignant neoplasm of skin of lower limb, including hi"
C4471,C,"Basal cell carcinoma of skin of lower limb, including hip"
C4472,C,"Squamous cell carcinoma of skin of lower limb, including hi"
C4479,C,"Oth malignant neoplasm of skin of lower limb, including hip"
C448,C,Oth and unsp malignant neoplasm of overlapping sites of ski
C449,C,"Other and unsp malignant neoplasm of skin, unspecified"
C45,C,Mesothelioma
C46,C,Kaposi's sarcoma
C465,C,Kaposi's sarcoma of lung
C47,C,Malignant neoplasm of prph nerves and autonomic nervous sys
C471,C,"Malig neoplasm of prph nerves of upper limb, inc shoulder"
C472,C,"Malignant neoplasm of prph nerves of lower limb, inc hip"
C48,C,Malignant neoplasm of retroperitoneum and peritoneum
C49,C,Malignant neoplasm of other connective and soft tissue
C491,C,"Malig neoplm of conn and soft tiss of upper limb, inc shldr"
C492,C,"Malig neoplm of conn and soft tissue of lower limb, inc hip"
C49A,C,Gastrointestinal stromal tumor
C50,C,Malignant neoplasm of breast
C500,C,Malignant neoplasm of nipple and areola
C5001,C,"Malignant neoplasm of nipple and areola, female"
C5002,C,"Malignant neoplasm of nipple and areola, male"
C501,C,Malignant neoplasm of central portion of breast
C5011,C,"Malignant neoplasm of central portion of breast, female"
C5012,C,"Malignant neoplasm of central portion of breast, male"
C502,C,Malignant neoplasm of upper-inner quadrant of breast
C5021,C,"Malignant neoplasm of upper-inner quadrant of breast, femal"
C5022,C,"Malignant neoplasm of upper-inner quadrant of breast, male"
C503,C,Malignant neoplasm of lower-inner quadrant of breast
C5031,C,"Malignant neoplasm of lower-inner quadrant of breast, femal"
C5032,C,"Malignant neoplasm of lower-inner quadrant of breast, male"
C504,C,Malignant neoplasm of upper-outer quadrant of breast
C5041,C,"Malignant neoplasm of upper-outer quadrant of breast, femal"
C5042,C,"Malignant neoplasm of upper-outer quadrant of breast, male"
C505,C,Malignant neoplasm of lower-outer quadrant of breast
C5051,C,"Malignant neoplasm of lower-outer quadrant of breast, femal"
C5052,C,"Malignant neoplasm of lower-outer quadrant of breast, male"
C506,C,Malignant neoplasm of axillary tail of breast
C5061,C,"Malignant neoplasm of axillary tail of breast, female"
C5062,C,"Malignant neoplasm of axillary tail of breast, male"
C508,C,Malignant neoplasm of overlapping sites of breast
C5081,C,"Malignant neoplasm of overlapping sites of breast, female"
C5082,C,"Malignant neoplasm of overlapping sites of breast, male"
C509,C,Malignant neoplasm of breast of unspecified site
C5091,C,"Malignant neoplasm of breast of unspecified site, female"
C5092,C,"Malignant neoplasm of breast of unspecified site, male"
C51,C,Malignant neoplasm of vulva
C53,C,Malignant neoplasm of cervix uteri
C54,C,Malignant neoplasm of corpus uteri
C56,C,Malignant neoplasm of ovary
C57,C,Malignant neoplasm of other and unsp female genital organs
C570,C,Malignant neoplasm of fallopian tube
C571,C,Malignant neoplasm of broad ligament
C572,C,Malignant neoplasm of round ligament
C60,C,Malignant neoplasm of penis
C62,C,Malignant neoplasm of testis
C620,C,Malignant neoplasm of undescended testis
C621,C,Malignant neoplasm of descended testis
C629,C,"Malignant neoplasm of testis, unsp descended or undescended"
C63,C,Malignant neoplasm of other and unsp male genital organs
C630,C,Malignant neoplasm of epididymis
C631,C,Malignant neoplasm of spermatic cord
C64,C,"Malignant neoplasm of kidney, except renal pelvis"
C65,C,Malignant neoplasm of renal pelvis
C66,C,Malignant neoplasm of ureter
C67,C,Malignant neoplasm of bladder
C68,C,Malignant neoplasm of other and unspecified urinary organs
C69,C,Malignant neoplasm of eye and adnexa
C690,C,Malignant neoplasm of conjunctiva
C691,C,Malignant neoplasm of cornea
C692,C,Malignant neoplasm of retina
C693,C,Malignant neoplasm of choroid
C694,C,Malignant neoplasm of ciliary body
C695,C,Malignant neoplasm of lacrimal gland and duct
C696,C,Malignant neoplasm of orbit
C698,C,Malignant neoplasm of overlapping sites of eye and adnexa
C699,C,Malignant neoplasm of unspecified site of eye
C70,C,Malignant neoplasm of meninges
C71,C,Malignant neoplasm of brain
C72,C,"Malig neoplm of spinal cord, cranial nerves and oth prt cns"
C722,C,Malignant neoplasm of olfactory nerve
C723,C,Malignant neoplasm of optic nerve
C724,C,Malignant neoplasm of acoustic nerve
C725,C,Malignant neoplasm of other and unspecified cranial nerves
C74,C,Malignant neoplasm of adrenal gland
C740,C,Malignant neoplasm of cortex of adrenal gland
C741,C,Malignant neoplasm of medulla of adrenal gland
C749,C,Malignant neoplasm of unspecified part of adrenal gland
C75,C,Malignant neoplasm of endo glands and related structures
C7A,C,Malignant neuroendocrine tumors
C7A0,C,Malignant carcinoid tumors
C7A01,C,Malignant carcinoid tumors of the small intestine
C7A02,C,"Malig carcinoid tumors of the appendix, lg int, and rectum"
C7A09,C,Malignant carcinoid tumors of other sites
C7B,C,Secondary neuroendocrine tumors
C7B0,C,Secondary carcinoid tumors
C76,C,Malignant neoplasm of other and ill-defined sites
C764,C,Malignant neoplasm of upper limb
C765,C,Malignant neoplasm of lower limb
C77,C,Secondary and unspecified malignant neoplasm of lymph nodes
C78,C,Secondary malignant neoplasm of resp and digestive organs
C780,C,Secondary malignant neoplasm of lung
C783,C,Secondary malignant neoplasm of and unsp respiratory organs
C788,C,Secondary malignant neoplasm of and unsp digestive organs
C79,C,Secondary malignant neoplasm of other and unspecified sites
C790,C,Secondary malignant neoplasm of kidney and renal pelvis
C791,C,Sec malig neoplm of bladder and oth and unsp urinary organs
C793,C,Secondary malignant neoplasm of brain and cerebral meninges
C794,C,Secondary malig neoplasm of and unsp parts of nervous sys
C795,C,Secondary malignant neoplasm of bone and bone marrow
C796,C,Secondary malignant neoplasm of ovary
C797,C,Secondary malignant neoplasm of adrenal gland
C798,C,Secondary malignant neoplasm of other specified sites
C80,C,Malignant neoplasm without specification of site
C81,C,Hodgkin lymphoma
C810,C,Nodular lymphocyte predominant Hodgkin lymphoma
C811,C,Nodular sclerosis Hodgkin lymphoma
C812,C,Mixed cellularity Hodgkin lymphoma
C813,C,Lymphocyte depleted Hodgkin lymphoma
C814,C,Lymphocyte-rich Hodgkin lymphoma
C817,C,Other Hodgkin lymphoma
C819,C,"Hodgkin lymphoma, unspecified"
C82,C,Follicular lymphoma
C820,C,Follicular lymphoma grade I
C821,C,Follicular lymphoma grade II
C822,C,"Follicular lymphoma grade III, unspecified"
C823,C,Follicular lymphoma grade IIIa
C824,C,Follicular lymphoma grade IIIb
C825,C,Diffuse follicle center lymphoma
C826,C,Cutaneous follicle center lymphoma
C828,C,Other types of follicular lymphoma
C829,C,"Follicular lymphoma, unspecified"
C83,C,Non-follicular lymphoma
C830,C,Small cell B-cell lymphoma
C831,C,Mantle cell lymphoma
C833,C,Diffuse large B-cell lymphoma
C835,C,Lymphoblastic (diffuse) lymphoma
C837,C,Burkitt lymphoma
C838,C,Other non-follicular lymphoma
C839,C,"Non-follicular (diffuse) lymphoma, unspecified"
C84,C,Mature T/NK-cell lymphomas
C840,C,Mycosis fungoides
C841,C,Sezary disease
C844,C,"Peripheral T-cell lymphoma, not elsewhere classified"
C846,C,"Anaplastic large cell lymphoma, ALK-positive"
C847,C,"Anaplastic large cell lymphoma, ALK-negative"
C84A,C,"Cutaneous T-cell lymphoma, unspecified"
C84Z,C,Other mature T/NK-cell lymphomas
C849,C,"Mature T/NK-cell lymphomas, unspecified"
C85,C,Oth and unspecified types of non-Hodgkin lymphoma
C851,C,Unspecified B-cell lymphoma
C852,C,Mediastinal (thymic) large B-cell lymphoma
C858,C,Other specified types of non-Hodgkin lymphoma
C859,C,"Non-Hodgkin lymphoma, unspecified"
C86,C,Other specified types of T/NK-cell lymphoma
C88,C,Malig immunoproliferative dis and certain oth B-cell lymph
C90,C,Multiple myeloma and malignant plasma cell neoplasms
C900,C,Multiple myeloma
C901,C,Plasma cell leukemia
C902,C,Extramedullary plasmacytoma
C903,C,Solitary plasmacytoma
C91,C,Lymphoid leukemia
C910,C,Acute lymphoblastic leukemia [ALL]
C911,C,Chronic lymphocytic leukemia of B-cell type
C913,C,Prolymphocytic leukemia of B-cell type
C914,C,Hairy cell leukemia
C915,C,Adult T-cell lymphoma/leukemia (HTLV-1-associated)
C916,C,Prolymphocytic leukemia of T-cell type
C91A,C,Mature B-cell leukemia Burkitt-type
C91Z,C,Other lymphoid leukemia
C919,C,"Lymphoid leukemia, unspecified"
C92,C,Myeloid leukemia
C920,C,Acute myeloblastic leukemia
C921,C,"Chronic myeloid leukemia, BCR/ABL-positive"
C922,C,"Atypical chronic myeloid leukemia, BCR/ABL-negative"
C923,C,Myeloid sarcoma
C924,C,Acute promyelocytic leukemia
C925,C,Acute myelomonocytic leukemia
C926,C,Acute myeloid leukemia with 11q23-abnormality
C92A,C,Acute myeloid leukemia with multilineage dysplasia
C92Z,C,Other myeloid leukemia
C929,C,"Myeloid leukemia, unspecified"
C93,C,Monocytic leukemia
C930,C,Acute monoblastic/monocytic leukemia
C931,C,Chronic myelomonocytic leukemia
C933,C,Juvenile myelomonocytic leukemia
C93Z,C,Other monocytic leukemia
C939,C,"Monocytic leukemia, unspecified"
C94,C,Other leukemias of specified cell type
C940,C,Acute erythroid leukemia
C942,C,Acute megakaryoblastic leukemia
C943,C,Mast cell leukemia
C944,C,Acute panmyelosis with myelofibrosis
C948,C,Other specified leukemias
C95,C,Leukemia of unspecified cell type
C950,C,Acute leukemia of unspecified cell type
C951,C,Chronic leukemia of unspecified cell type
C959,C,"Leukemia, unspecified"
C96,C,"Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tis"
C962,C,Malignant mast cell neoplasm
D00,D,"Carcinoma in situ of oral cavity, esophagus and stomach"
D000,D,"Carcinoma in situ of lip, oral cavity and pharynx"
D01,D,Carcinoma in situ of other and unspecified digestive organs
D014,D,Carcinoma in situ of other and unsp parts of intestine
D02,D,Carcinoma in situ of middle ear and respiratory system
D022,D,Carcinoma in situ of bronchus and lung
D03,D,Melanoma in situ
D031,D,"Melanoma in situ of eyelid, including canthus"
D0311,D,"Melanoma in situ of right eyelid, including canthus"
D0312,D,"Melanoma in situ of left eyelid, including canthus"
D032,D,Melanoma in situ of ear and external auricular canal
D033,D,Melanoma in situ of other and unspecified parts of face
D035,D,Melanoma in situ of trunk
D036,D,"Melanoma in situ of upper limb, including shoulder"
D037,D,"Melanoma in situ of lower limb, including hip"
D04,D,Carcinoma in situ of skin
D041,D,"Carcinoma in situ of skin of eyelid, including canthus"
D0411,D,"Carcinoma in situ of skin of right eyelid, including canthu"
D0412,D,"Carcinoma in situ of skin of left eyelid, including canthus"
D042,D,Ca in situ skin of ear and external auricular canal
D043,D,Carcinoma in situ of skin of other and unsp parts of face
D046,D,"Carcinoma in situ of skin of upper limb, including shoulder"
D047,D,"Carcinoma in situ of skin of lower limb, including hip"
D05,D,Carcinoma in situ of breast
D050,D,Lobular carcinoma in situ of breast
D051,D,Intraductal carcinoma in situ of breast
D058,D,Other specified type of carcinoma in situ of breast
D059,D,Unspecified type of carcinoma in situ of breast
D06,D,Carcinoma in situ of cervix uteri
D07,D,Carcinoma in situ of other and unspecified genital organs
D073,D,Carcinoma in situ of other and unsp female genital organs
D076,D,Carcinoma in situ of other and unsp male genital organs
D09,D,Carcinoma in situ of other and unspecified sites
D091,D,Carcinoma in situ of other and unspecified urinary organs
D092,D,Carcinoma in situ of eye
D10,D,Benign neoplasm of mouth and pharynx
D103,D,Benign neoplasm of other and unspecified parts of mouth
D11,D,Benign neoplasm of major salivary glands
D12,D,"Benign neoplasm of colon, rectum, anus and anal canal"
D13,D,Benign neoplasm of and ill-defined parts of digestive syste
D133,D,Benign neoplasm of other and unsp parts of small intestine
D14,D,Benign neoplasm of middle ear and respiratory system
D143,D,Benign neoplasm of bronchus and lung
D15,D,Benign neoplasm of other and unsp intrathoracic organs
D16,D,Benign neoplasm of bone and articular cartilage
D160,D,Benign neoplasm of scapula and long bones of upper limb
D161,D,Benign neoplasm of short bones of upper limb
D162,D,Benign neoplasm of long bones of lower limb
D163,D,Benign neoplasm of short bones of lower limb
D17,D,Benign lipomatous neoplasm
D172,D,"Benign lipomatous neoplasm of skin, subcu of limb"
D173,D,"Benign lipomatous neoplasm of skin, subcu of and unsp sites"
D177,D,Benign lipomatous neoplasm of other sites
D18,D,"Hemangioma and lymphangioma, any site"
D180,D,Hemangioma
D19,D,Benign neoplasm of mesothelial tissue
D20,D,Benign neoplm of soft tissue of retroperiton and peritoneum
D21,D,Other benign neoplasms of connective and other soft tissue
D211,D,"Benign neoplm of connctv/soft tiss of upper limb, inc shldr"
D212,D,"Benign neoplasm of connctv/soft tiss of lower limb, inc hip"
D22,D,Melanocytic nevi
D221,D,"Melanocytic nevi of eyelid, including canthus"
D2211,D,"Melanocytic nevi of right eyelid, including canthus"
D2212,D,"Melanocytic nevi of left eyelid, including canthus"
D222,D,Melanocytic nevi of ear and external auricular canal
D223,D,Melanocytic nevi of other and unspecified parts of face
D226,D,"Melanocytic nevi of upper limb, including shoulder"
D227,D,"Melanocytic nevi of lower limb, including hip"
D23,D,Other benign neoplasms of skin
D231,D,"Other benign neoplasm of skin of eyelid, including canthus"
D2311,D,"Oth benign neoplasm skin/ right eyelid, including canthus"
D2312,D,"Oth benign neoplasm skin/ left eyelid, including canthus"
D232,D,Oth benign neoplasm skin/ ear and external auricular canal
D233,D,Oth benign neoplasm of skin of other and unsp parts of face
D236,D,"Oth benign neoplasm skin/ upper limb, including shoulder"
D237,D,"Other benign neoplasm of skin of lower limb, including hip"
D24,D,Benign neoplasm of breast
